Date,Offence,Sum Value,year
2012-01-01,Sexual Offences,993,8048
2012-01-01,Theft,21618,16096
2012-01-01,Vehicle Offences,8642,16096
2012-01-01,Violence Against the Person,13412,12072
2012-02-01,Arson and Criminal Damage,5800,8048
2012-02-01,Burglary,8372,8048
2012-02-01,Drug Offences,8345,8048
2012-02-01,Historical Fraud and Forgery,2435,4024
2012-02-01,Miscellaneous Crimes Against Society,920,96576
2012-02-01,Possession of Weapons,634,24144
2012-02-01,Public Order Offences,2774,16096
2012-02-01,Robbery,3387,8048
2012-02-01,Sexual Offences,872,8048
2012-02-01,Theft,19731,16096
2012-02-01,Vehicle Offences,7878,16096
2012-02-01,Violence Against the Person,12542,12072
2012-03-01,Arson and Criminal Damage,6472,8048
2012-03-01,Burglary,9571,8048
2012-03-01,Drug Offences,9165,8048
2012-03-01,Historical Fraud and Forgery,2940,4024
2012-03-01,Miscellaneous Crimes Against Society,1183,96576
2012-03-01,Possession of Weapons,650,24144
2012-03-01,Public Order Offences,3058,16096
2012-03-01,Robbery,3955,8048
2012-03-01,Sexual Offences,1024,8048
2012-03-01,Theft,24227,16096
2012-03-01,Vehicle Offences,9841,16096
2012-03-01,Violence Against the Person,14222,12072
2012-04-01,Arson and Criminal Damage,5765,8048
2012-04-01,Burglary,8245,8048
2012-04-01,Drug Offences,7075,8048
2012-04-01,Historical Fraud and Forgery,2685,4024
2012-04-01,Miscellaneous Crimes Against Society,902,96576
2012-04-01,Possession of Weapons,519,24144
2012-04-01,Public Order Offences,2683,16096
2012-04-01,Robbery,3499,8048
2012-04-01,Sexual Offences,910,8048
2012-04-01,Theft,21055,16096
2012-04-01,Vehicle Offences,8327,16096
2012-04-01,Violence Against the Person,12972,12072
2012-05-01,Arson and Criminal Damage,6316,8048
2012-05-01,Burglary,8298,8048
2012-05-01,Drug Offences,7983,8048
2012-05-01,Historical Fraud and Forgery,2884,4024
2012-05-01,Miscellaneous Crimes Against Society,1009,96576
2012-05-01,Possession of Weapons,613,24144
2012-05-01,Public Order Offences,3282,16096
2012-05-01,Robbery,3602,8048
2012-05-01,Sexual Offences,1072,8048
2012-05-01,Theft,23074,16096
2012-05-01,Vehicle Offences,9476,16096
2012-05-01,Violence Against the Person,14616,12072
2012-06-01,Arson and Criminal Damage,6074,8048
2012-06-01,Burglary,8483,8048
2012-06-01,Drug Offences,7744,8048
2012-06-01,Historical Fraud and Forgery,2761,4024
2012-06-01,Miscellaneous Crimes Against Society,881,96576
2012-06-01,Possession of Weapons,549,24144
2012-06-01,Public Order Offences,3025,16096
2012-06-01,Robbery,3543,8048
2012-06-01,Sexual Offences,921,8048
2012-06-01,Theft,22241,16096
2012-06-01,Vehicle Offences,8396,16096
2012-06-01,Violence Against the Person,13851,12072
2012-07-01,Arson and Criminal Damage,5999,8048
2012-07-01,Burglary,8517,8048
2012-07-01,Drug Offences,8628,8048
2012-07-01,Historical Fraud and Forgery,3107,4024
2012-07-01,Miscellaneous Crimes Against Society,1193,96576
2012-07-01,Possession of Weapons,706,24144
2012-07-01,Public Order Offences,3438,16096
2012-07-01,Robbery,3656,8048
2012-07-01,Sexual Offences,1107,8048
2012-07-01,Theft,23642,16096
2012-07-01,Vehicle Offences,8285,16096
2012-07-01,Violence Against the Person,14828,12072
2012-08-01,Arson and Criminal Damage,6186,8048
2012-08-01,Burglary,8108,8048
2012-08-01,Drug Offences,9619,8048
2012-08-01,Historical Fraud and Forgery,2990,4024
2012-08-01,Miscellaneous Crimes Against Society,1196,96576
2012-08-01,Possession of Weapons,639,24144
2012-08-01,Public Order Offences,3650,16096
2012-08-01,Robbery,3272,8048
2012-08-01,Sexual Offences,1029,8048
2012-08-01,Theft,22436,16096
2012-08-01,Vehicle Offences,8086,16096
2012-08-01,Violence Against the Person,15334,12072
2012-09-01,Arson and Criminal Damage,5240,8048
2012-09-01,Burglary,7681,8048
2012-09-01,Drug Offences,8793,8048
2012-09-01,Historical Fraud and Forgery,2810,4024
2012-09-01,Miscellaneous Crimes Against Society,1177,96576
2012-09-01,Possession of Weapons,565,24144
2012-09-01,Public Order Offences,3171,16096
2012-09-01,Robbery,3147,8048
2012-09-01,Sexual Offences,936,8048
2012-09-01,Theft,20612,16096
2012-09-01,Vehicle Offences,7674,16096
2012-09-01,Violence Against the Person,13660,12072
2012-10-01,Arson and Criminal Damage,5420,8048
2012-10-01,Burglary,8868,8048
2012-10-01,Drug Offences,7747,8048
2012-10-01,Historical Fraud and Forgery,3081,4024
2012-10-01,Miscellaneous Crimes Against Society,1076,96576
2012-10-01,Possession of Weapons,597,24144
2012-10-01,Public Order Offences,3026,16096
2012-10-01,Robbery,3342,8048
2012-10-01,Sexual Offences,1203,8048
2012-10-01,Theft,23169,16096
2012-10-01,Vehicle Offences,8506,16096
2012-10-01,Violence Against the Person,14037,12072
2012-11-01,Arson and Criminal Damage,5644,8048
2012-11-01,Burglary,9615,8048
2012-11-01,Drug Offences,8436,8048
2012-11-01,Historical Fraud and Forgery,3300,4024
2012-11-01,Miscellaneous Crimes Against Society,1010,96576
2012-11-01,Possession of Weapons,635,24144
2012-11-01,Public Order Offences,3139,16096
2012-11-01,Robbery,3563,8048
2012-11-01,Sexual Offences,1142,8048
2012-11-01,Theft,22948,16096
2012-11-01,Vehicle Offences,8942,16096
2012-11-01,Violence Against the Person,13743,12072
2012-12-01,Arson and Criminal Damage,5018,8048
2012-12-01,Burglary,8850,8048
2012-12-01,Drug Offences,7241,8048
2012-12-01,Historical Fraud and Forgery,2607,4024
2012-12-01,Miscellaneous Crimes Against Society,935,96576
2012-12-01,Possession of Weapons,567,24144
2012-12-01,Public Order Offences,2695,16096
2012-12-01,Robbery,3301,8048
2012-12-01,Sexual Offences,915,8048
2012-12-01,Theft,22028,16096
2012-12-01,Vehicle Offences,7644,16096
2012-12-01,Violence Against the Person,13245,12072
2013-01-01,Arson and Criminal Damage,5291,8052
2013-01-01,Burglary,9248,8052
2013-01-01,Drug Offences,8863,8052
2013-01-01,Historical Fraud and Forgery,2922,4026
2013-01-01,Miscellaneous Crimes Against Society,937,96624
2013-01-01,Possession of Weapons,583,24156
2013-01-01,Public Order Offences,2860,16104
2013-01-01,Robbery,3255,8052
2013-01-01,Sexual Offences,1104,8052
2013-01-01,Theft,21160,16104
2013-01-01,Vehicle Offences,8514,16104
2013-01-01,Violence Against the Person,13039,12078
2013-02-01,Arson and Criminal Damage,5181,8052
2013-02-01,Burglary,8454,8052
2013-02-01,Drug Offences,8599,8052
2013-02-01,Historical Fraud and Forgery,555,4026
2013-02-01,Miscellaneous Crimes Against Society,1084,96624
2013-02-01,Possession of Weapons,601,24156
2013-02-01,Public Order Offences,2723,16104
2013-02-01,Robbery,2751,8052
2013-02-01,Sexual Offences,913,8052
2013-02-01,Theft,20212,16104
2013-02-01,Vehicle Offences,7978,16104
2013-02-01,Violence Against the Person,11666,12078
2013-03-01,Arson and Criminal Damage,5194,8052
2013-03-01,Burglary,8310,8052
2013-03-01,Drug Offences,8966,8052
2013-03-01,Historical Fraud and Forgery,153,4026
2013-03-01,Miscellaneous Crimes Against Society,1270,96624
2013-03-01,Possession of Weapons,645,24156
2013-03-01,Public Order Offences,2902,16104
2013-03-01,Robbery,3008,8052
2013-03-01,Sexual Offences,926,8052
2013-03-01,Theft,20749,16104
2013-03-01,Vehicle Offences,7936,16104
2013-03-01,Violence Against the Person,13065,12078
2013-04-01,Arson and Criminal Damage,5517,8052
2013-04-01,Burglary,7889,8052
2013-04-01,Drug Offences,7616,8052
2013-04-01,Historical Fraud and Forgery,110,4026
2013-04-01,Miscellaneous Crimes Against Society,1008,96624
2013-04-01,Possession of Weapons,593,24156
2013-04-01,Public Order Offences,2906,16104
2013-04-01,Robbery,2704,8052
2013-04-01,Sexual Offences,907,8052
2013-04-01,Theft,20386,16104
2013-04-01,Vehicle Offences,7575,16104
2013-04-01,Violence Against the Person,12789,12078
2013-05-01,Arson and Criminal Damage,5705,8052
2013-05-01,Burglary,7650,8052
2013-05-01,Drug Offences,8229,8052
2013-05-01,Historical Fraud and Forgery,75,4026
2013-05-01,Miscellaneous Crimes Against Society,1094,96624
2013-05-01,Possession of Weapons,658,24156
2013-05-01,Public Order Offences,3273,16104
2013-05-01,Robbery,2825,8052
2013-05-01,Sexual Offences,1207,8052
2013-05-01,Theft,20390,16104
2013-05-01,Vehicle Offences,7565,16104
2013-05-01,Violence Against the Person,13538,12078
2013-06-01,Arson and Criminal Damage,5630,8052
2013-06-01,Burglary,7500,8052
2013-06-01,Drug Offences,7900,8052
2013-06-01,Historical Fraud and Forgery,55,4026
2013-06-01,Miscellaneous Crimes Against Society,1037,96624
2013-06-01,Possession of Weapons,628,24156
2013-06-01,Public Order Offences,3239,16104
2013-06-01,Robbery,2807,8052
2013-06-01,Sexual Offences,1127,8052
2013-06-01,Theft,20537,16104
2013-06-01,Vehicle Offences,7763,16104
2013-06-01,Violence Against the Person,13522,12078
2013-07-01,Arson and Criminal Damage,5751,8052
2013-07-01,Burglary,7604,8052
2013-07-01,Drug Offences,8387,8052
2013-07-01,Historical Fraud and Forgery,53,4026
2013-07-01,Miscellaneous Crimes Against Society,1154,96624
2013-07-01,Possession of Weapons,723,24156
2013-07-01,Public Order Offences,3752,16104
2013-07-01,Robbery,3125,8052
2013-07-01,Sexual Offences,1258,8052
2013-07-01,Theft,21824,16104
2013-07-01,Vehicle Offences,7848,16104
2013-07-01,Violence Against the Person,15325,12078
2013-08-01,Arson and Criminal Damage,5451,8052
2013-08-01,Burglary,7338,8052
2013-08-01,Drug Offences,7934,8052
2013-08-01,Historical Fraud and Forgery,51,4026
2013-08-01,Miscellaneous Crimes Against Society,1065,96624
2013-08-01,Possession of Weapons,654,24156
2013-08-01,Public Order Offences,3343,16104
2013-08-01,Robbery,2968,8052
2013-08-01,Sexual Offences,1197,8052
2013-08-01,Theft,20775,16104
2013-08-01,Vehicle Offences,7252,16104
2013-08-01,Violence Against the Person,13574,12078
2013-09-01,Arson and Criminal Damage,4969,8052
2013-09-01,Burglary,7493,8052
2013-09-01,Drug Offences,7856,8052
2013-09-01,Historical Fraud and Forgery,42,4026
2013-09-01,Miscellaneous Crimes Against Society,1074,96624
2013-09-01,Possession of Weapons,611,24156
2013-09-01,Public Order Offences,3118,16104
2013-09-01,Robbery,2911,8052
2013-09-01,Sexual Offences,1067,8052
2013-09-01,Theft,19625,16104
2013-09-01,Vehicle Offences,7740,16104
2013-09-01,Violence Against the Person,13329,12078
2013-10-01,Arson and Criminal Damage,5271,8052
2013-10-01,Burglary,8388,8052
2013-10-01,Drug Offences,9015,8052
2013-10-01,Historical Fraud and Forgery,28,4026
2013-10-01,Miscellaneous Crimes Against Society,1232,96624
2013-10-01,Possession of Weapons,712,24156
2013-10-01,Public Order Offences,3420,16104
2013-10-01,Robbery,2894,8052
2013-10-01,Sexual Offences,1149,8052
2013-10-01,Theft,21060,16104
2013-10-01,Vehicle Offences,8579,16104
2013-10-01,Violence Against the Person,14385,12078
2013-11-01,Arson and Criminal Damage,5247,8052
2013-11-01,Burglary,8993,8052
2013-11-01,Drug Offences,9000,8052
2013-11-01,Historical Fraud and Forgery,61,4026
2013-11-01,Miscellaneous Crimes Against Society,1162,96624
2013-11-01,Possession of Weapons,662,24156
2013-11-01,Public Order Offences,3255,16104
2013-11-01,Robbery,2809,8052
2013-11-01,Sexual Offences,1065,8052
2013-11-01,Theft,19615,16104
2013-11-01,Vehicle Offences,8005,16104
2013-11-01,Violence Against the Person,14210,12078
2013-12-01,Arson and Criminal Damage,5160,8052
2013-12-01,Burglary,8459,8052
2013-12-01,Drug Offences,7359,8052
2013-12-01,Historical Fraud and Forgery,41,4026
2013-12-01,Miscellaneous Crimes Against Society,1130,96624
2013-12-01,Possession of Weapons,587,24156
2013-12-01,Public Order Offences,2947,16104
2013-12-01,Robbery,2374,8052
2013-12-01,Sexual Offences,1082,8052
2013-12-01,Theft,18265,16104
2013-12-01,Vehicle Offences,7273,16104
2013-12-01,Violence Against the Person,14308,12078
2014-01-01,Arson and Criminal Damage,5208,8056
2014-01-01,Burglary,8640,8056
2014-01-01,Drug Offences,7890,8056
2014-01-01,Historical Fraud and Forgery,27,4028
2014-01-01,Miscellaneous Crimes Against Society,1142,96672
2014-01-01,Possession of Weapons,616,24168
2014-01-01,Public Order Offences,3187,16112
2014-01-01,Robbery,2552,8056
2014-01-01,Sexual Offences,1282,8056
2014-01-01,Theft,18252,16112
2014-01-01,Vehicle Offences,7617,16112
2014-01-01,Violence Against the Person,14398,12084
2014-02-01,Arson and Criminal Damage,4848,8056
2014-02-01,Burglary,7429,8056
2014-02-01,Drug Offences,7315,8056
2014-02-01,Historical Fraud and Forgery,9,4028
2014-02-01,Miscellaneous Crimes Against Society,1131,96672
2014-02-01,Possession of Weapons,542,24168
2014-02-01,Public Order Offences,2816,16112
2014-02-01,Robbery,2190,8056
2014-02-01,Sexual Offences,1057,8056
2014-02-01,Theft,17124,16112
2014-02-01,Vehicle Offences,6924,16112
2014-02-01,Violence Against the Person,13522,12084
2014-03-01,Arson and Criminal Damage,5497,8056
2014-03-01,Burglary,7459,8056
2014-03-01,Drug Offences,8574,8056
2014-03-01,Historical Fraud and Forgery,17,4028
2014-03-01,Miscellaneous Crimes Against Society,1298,96672
2014-03-01,Possession of Weapons,709,24168
2014-03-01,Public Order Offences,3476,16112
2014-03-01,Robbery,2292,8056
2014-03-01,Sexual Offences,1248,8056
2014-03-01,Theft,19628,16112
2014-03-01,Vehicle Offences,7479,16112
2014-03-01,Violence Against the Person,15898,12084
2014-04-01,Arson and Criminal Damage,5379,8056
2014-04-01,Burglary,6349,8056
2014-04-01,Drug Offences,7443,8056
2014-04-01,Historical Fraud and Forgery,1,4028
2014-04-01,Miscellaneous Crimes Against Society,1096,96672
2014-04-01,Possession of Weapons,645,24168
2014-04-01,Public Order Offences,3292,16112
2014-04-01,Robbery,2038,8056
2014-04-01,Sexual Offences,1190,8056
2014-04-01,Theft,17892,16112
2014-04-01,Vehicle Offences,7093,16112
2014-04-01,Violence Against the Person,14499,12084
2014-05-01,Arson and Criminal Damage,5628,8056
2014-05-01,Burglary,6395,8056
2014-05-01,Drug Offences,7459,8056
2014-05-01,Historical Fraud and Forgery,10,4028
2014-05-01,Miscellaneous Crimes Against Society,1202,96672
2014-05-01,Possession of Weapons,731,24168
2014-05-01,Public Order Offences,3905,16112
2014-05-01,Robbery,2106,8056
2014-05-01,Sexual Offences,1250,8056
2014-05-01,Theft,18634,16112
2014-05-01,Vehicle Offences,7147,16112
2014-05-01,Violence Against the Person,16023,12084
2014-06-01,Arson and Criminal Damage,5667,8056
2014-06-01,Burglary,5899,8056
2014-06-01,Drug Offences,7252,8056
2014-06-01,Historical Fraud and Forgery,6,4028
